evo-1,evo-2,evo-3,evo-4,evo-5,evo-6,evo-7,evo-8,evo-9,evo-10,evo-11,evo-12,evo-13,evo-14,evo-15,evo-16,evo-17,evo-18,evo-19,evo-20,evo-21,evo-22,evo-23,evo-24,evo-25,evo-26,evo-27
nop-B,nop-C,nop-C,nop-C,rotate-l,if-label,h-search,sub,nop-C,shift-r,sense-resource0,add,phero-on,nop-C,pop,if-not-pheromone,nop-C,IO,move,mov-head,donate-res-to-deme,nop-C,rotate-l,move,sub,nop-C,nop-B
nop-C,inc,nop-C,IO,explore,nop-C,nop-C,inc,h-search,nop-C,nop-C,h-search,if-n-equ,donate-res-to-deme,add,nop-C,nop-C,nop-C,dec,nop-C,h-search,shift-r,nop-C,mov-head,nop-C,nop-C,if-resources
tumble,nop-C,nop-C,h-search,if-resources,sense-pheromone,nop-C,nop-C,sub,push,nop-C,move,explore,nop-C,add,dec,swap-stk,push,phero-off,if-resources,if-label,sense-pheromone-faced,phero-off,swap,nop-C,nop-C,inc
pop,h-search,h-search,nop-B,IO,exploit,nop-A,nop-C,nop-B,tumble,if-resources,inc,explore,if-not-pheromone,nop-B,nop-C,h-search,if-label,donate-res-to-deme,nop-C,nop-C,add,h-search,if-label,h-search,if-not-pheromone,nop-C
nop-C,if-label,nop-C,nop-C,donate-res-to-deme,explore,explore,sense-pheromone,move,h-search,if-n-equ,nop-A,if-resources,move,nop-C,h-search,rotate-l,dec,rotate-l,nop-C,explore,if-resources,move,nop-A,if-label,if-label,get-head
nop-C,nop-C,nop-A,phero-off,mov-head,exploit,explore,exploit,pop,inc,nop-C,explore,if-label,dec,set-flow,if-label,nop-C,nop-A,exploit,nop-C,explore,sub,if-label,explore,nop-C,nop-C,nop-C
if-label,sense-faced-resource0,explore,explore,nop-A,inc,if-resources,phero-on,explore,nop-C,nop-C,if-not-pheromone,inc,h-search,nop-C,nop-C,shift-l,h-search,IO,nop-C,explore,nop-C,nop-C,explore,explore,swap,rotate-r
nop-C,explore,explore,explore,nop-B,IO,inc,explore,inc,nop-A,nop-C,if-resources,IO,rotate-l,h-search,add,pop,explore,rotate-r,h-search,exploit,push,sub,explore,explore,h-search,exploit
phero-on,explore,if-resources,donate-res-to-deme,,donate-res-to-deme,IO,nop-C,IO,explore,h-search,inc,donate-res-to-deme,explore,nop-B,explore,explore,if-resources,if-resources,exploit,inc,phero-on,IO,IO,if-resources,move,h-search
shift-l,sense-resource0,inc,exploit,,mov-head,donate-res-to-deme,nop-A,donate-res-to-deme,sense-pheromone,if-label,IO,mov-head,sense-pheromone,nop-C,rotate-l,if-resources,IO,phero-on,rotate-l,IO,nop-C,explore,IO,inc,explore,nop-C
phero-off,tumble,IO,tumble,,if-not-pheromone,mov-head,move,mov-head,explore,nop-A,sub,nop-A,move,nop-A,sense-pheromone-faced,tumble,donate-res-to-deme,nop-B,nop-A,donate-res-to-deme,sub,if-resources,donate-res-to-deme,IO,tumble,nop-C
exploit,IO,donate-res-to-deme,IO,,nop-B,nop-A,explore,nop-A,move,explore,donate-res-to-deme,nop-B,IO,explore,inc,IO,mov-head,move,explore,mov-head,h-search,inc,mov-head,donate-res-to-deme,IO,nop-A
IO,donate-res-to-deme,mov-head,nop-C,,,nop-B,if-resources,nop-B,if-resources,explore,mov-head,,donate-res-to-deme,move,IO,donate-res-to-deme,shift-l,mov-head,nop-C,nop-A,if-label,IO,push,mov-head,donate-res-to-deme,explore
add,mov-head,nop-A,mov-head,,,,inc,,IO,rotate-l,h-search,,mov-head,if-resources,donate-res-to-deme,mov-head,dec,nop-A,if-resources,shift-l,rotate-l,donate-res-to-deme,dec,sense-pheromone-faced,mov-head,rotate-l
mov-head,nop-A,nop-A,nop-A,,,,IO,,donate-res-to-deme,inc,phero-on,,pop,inc,mov-head,nop-A,,nop-B,IO,,nop-A,mov-head,,nop-B,sub,nop-B
nop-A,nop-B,,nop-B,,,,donate-res-to-deme,,mov-head,IO,,,nop-B,IO,sense-pheromone-faced,nop-B,,,donate-res-to-deme,,sub,nop-A,,,explore,exploit
shift-r,,,,,,,mov-head,,tumble,donate-res-to-deme,,,,donate-res-to-deme,phero-on,,,,mov-head,,sense-pheromone-faced,get-head,,,,IO
,,,,,,,sense-faced-resource0,,swap-stk,mov-head,,,,mov-head,,,,,sense-pheromone,,explore,nop-B,,,,donate-res-to-deme
,,,,,,,set-flow,,,tumble,,,,nop-A,,,,,nop-B,,pop,,,,,mov-head
,,,,,,,nop-B,,,nop-B,,,,nop-B,,,,,,,IO,,,,,rotate-l
,,,,,,,,,,,,,,,,,,,,,donate-res-to-deme,,,,,
,,,,,,,,,,,,,,,,,,,,,mov-head,,,,,
,,,,,,,,,,,,,,,,,,,,,if-n-equ,,,,,
,,,,,,,,,,,,,,,,,,,,,if-label,,,,,
